n: 36
g: 2
D: 32
a:
[ 
    500   1000    653  978.5    502      0    500    500    2.5    500    500    500   1000    500  500.5    500    911  996.5    908    578    500   1000    531  500.5  580.5    725  598.5  531.5  497.5   1000     10  506.5   1000  994.5  923.5   1000
      0    500      0      0      0      0    0.5  245.5      0      0    399      0    178      0     31      0      0    0.5   99.5      0    451     30      0    0.5      5      0      0      0      0   31.5      0      0    492     80      0      1
    347   1000    500    972    467      0    500    500    0.5    500    500    500   1000    500    500    500    894    999  751.5  504.5    500   1000  510.5    500    581    651    529  532.5    499   1000    8.5  502.5   1000  995.5    755  999.5
   21.5   1000     28    500     49      0    500    500      0  493.5    500    500  997.5    500    500    500    217    970  502.5  243.5    500  999.5    500    500  504.5     43    500    391    467  945.5      1    500    999    904    509  978.5
    498   1000    533    951    500   58.5    500    500  119.5    500    500    500   1000    500    500    500  875.5   1000  528.5    501    500   1000    500    500    961  618.5    501    882    500  994.5    254    500   1000   1000  538.5  998.5
   1000   1000   1000   1000  941.5    500    916    613    767  503.5  506.5  500.5   1000  920.5  909.5    515   1000   1000   1000  999.5  544.5   1000   1000  983.5    998   1000   1000  986.5  920.5   1000    930  998.5   1000   1000   1000   1000
    500  999.5    500    500    500     84    500  522.5  244.5    0.5  500.5   15.5    500  260.5    711    2.5    500    500    991  498.5    507    871  496.5  556.5    500    500    500    500  252.5    954    473    498   1000    500  556.5  506.5
    500  754.5    500    500    500    387  477.5    500    472    8.5  422.5    0.5    500  475.5    502     46    500    500  595.5  499.5  575.5  508.5    500  493.5    500    500    500    500    474    532  498.5  499.5  972.5    500  500.5    500
  997.5   1000  999.5   1000  880.5    233  755.5    528    500    500  501.5    500   1000  753.5  743.5    503  999.5   1000   1000    998    509   1000    997  929.5    993    998    997  965.5  748.5   1000    863  994.5   1000   1000   1000   1000
    500   1000    500  506.5    500  496.5  999.5  991.5    500    500  873.5    662    872    984   1000  890.5  500.5  595.5   1000    504    979   1000  985.5   1000    500    500  995.5    500    603   1000    500    997   1000  528.5   1000  999.5
    500    601    500    500    500  493.5  499.5  577.5  498.5  126.5    500   80.5    500    500    509    371    500    500    533    500    807    502    500    500    500    500    500    500    500  506.5    500    500    909    500    500    500
    500   1000    500    500    500  499.5  984.5  999.5    500    338  919.5    500    500    507  999.5    474    500    500  998.5    500  993.5    993    504  943.5    500    500    544    500    500    999    500    542   1000    500    883    623
      0    822      0    2.5      0      0    500    500      0    128    500    500    500  450.5    500  371.5      2   43.5    500    0.5    500  541.5    462    500    9.5      0    493      0     45  500.5      0    494    537  123.5    500    500
    500   1000    500    500    500   79.5  739.5  524.5  246.5     16    500    493  549.5    500  743.5    103    500    503   1000  499.5    509   1000    749    925    500    500  922.5    500    249   1000  468.5    932   1000    501    997  983.5
  499.5    969    500    500    500   90.5    289    498  256.5      0    491    0.5    500  256.5    500    5.5    500    500  881.5    498  506.5  595.5  495.5  436.5    500    500  498.5    500    249  735.5    468    489    998    500    505  501.5
