instance                           n     g     D         obj       bound      gap%    sols       nodes    status     runtime
2-1.dat                            4     1     -       1.464       1.464     0.000       3           1         2       0.003
2-1.dat                            4     2     -       0.422       0.422     0.000       8           1         2       0.015
2-1.dat                            4     3     -       0.214       0.214     0.000       6         704         2       0.052
2-1.dat                            4     4     -       0.041       0.041     0.000       6        2342         2       0.142
2-2.dat                            5     1     -       1.430       1.430     0.000       3           1         2       0.003
2-2.dat                            5     2     -       0.459       0.459     0.000       6          96         2       0.044
2-2.dat                            5     3     -       0.158       0.158     0.000       8        2205         2       0.215
2-2.dat                            5     4     -       0.030       0.030     0.000       7       11388         2       1.681
4-1.dat                            3     1     -       0.578       0.578     0.000       1           0         2       0.002
4-1.dat                            3     2     -       0.133       0.133     0.000       3           1         2       0.006
4-1.dat                            3     3     -       0.002       0.002     0.000       4          88         2       0.014
4-1.dat                            3     4     -       0.000       0.000     0.000       2           1         2       0.008
4-2.dat                            3     1     -       0.664       0.664     0.000       1           1         2       0.002
4-2.dat                            3     2     -       0.180       0.180     0.000       3           1         2       0.006
4-2.dat                            3     3     -       0.016       0.016     0.000       5         231         2       0.018
4-2.dat                            3     4     -       0.000       0.000     0.000       2           1         2       0.007
6-3.dat                           14     1     -       5.667       5.667     0.000       2           1         2       0.016
6-3.dat                           14     2     -       2.111       2.111     0.000       9        4890         2       1.610
6-3.dat                           14     3     -       0.556       0.556     0.000      10        7841         2       4.971
6-3.dat                           14     4     -       0.000       0.000     0.000       5         288         2       0.987
6-4.dat                           14     1     -       2.667       2.667     0.000       3           1         2       0.014
6-4.dat                           14     2     -       0.667       0.667     0.000       4           1         2       0.150
6-4.dat                           14     3     -       0.222       0.222     0.000       3           1         2       0.304
6-4.dat                           14     4     -       0.000       0.000     0.000       2          92         2       0.681
6-11.dat                          20     1     -      14.222      14.222     0.000       3           1         2       0.047
6-12.dat                          20     1     -       5.667       5.667     0.000       3           1         2       0.045
6-12.dat                          20     2     -       2.444       2.444     0.000      10       16001         2      14.111
6-12.dat                          20     3     -       0.222       0.222     0.000       5        1079         2       4.064
6-12.dat                          20     4     -       0.000       0.000     0.000       2           1         2       2.352
6-18.dat                          24     1     -       7.667       7.667     0.000       3           1         2       0.071
6-18.dat                          24     2     -       2.222       2.222     0.000       5       13868         2      25.212
6-18.dat                          24     3     -       0.444       0.444     0.000       7        8222         2      31.821
6-18.dat                          24     4     -       0.000       0.000     0.000       2           1         2       1.041
6-28.dat                          24     1     -      29.778      29.778     0.000       3           1         2       0.088
6-11.dat                          20     2     -       6.111       6.111     0.000      10       64449         2    1162.602
14-1.dat                          10     1     -      13.089      13.089     0.000       3           1         2       0.009
14-1.dat                          10     2     -       4.231       4.231     0.000      10      134388         2      66.110
15-48.dat                         10     1     -      13.000      13.000     0.000       2           1         2       0.009
15-48.dat                         10     2     -       2.000       2.000     0.000       7          70         2       0.370
15-48.dat                         10     3     -       0.000       0.000     0.000       4           1         2       0.180
15-48.dat                         10     4     -       0.000       0.000     0.000       1           0         2       0.002
6-28.dat                          24     2     -      12.556       9.074    27.729      10       59558         9    7200.000
6-11.dat                          20     3     -       3.000       1.556    48.148      10     4611980         9    7200.000
14-1.dat                          10     3     -       2.525       0.874    65.373      10    14046628         9    7200.000
6-11.dat                          20     4     -       0.444       0.444     0.000      10     1027596         2    3148.087
6-28.dat                          24     3     -       7.333       0.792    89.202      10     1104897         9    7200.000
14-1.dat                          10     4     -       1.515       0.000   100.000      10     9153341         9    7200.000
6-28.dat                          24     4     -       3.444       0.111    96.774      10     1196479         9    7200.000
15-74.dat                         20     1     -      39.333      39.333     0.000       3           1         2       0.053
15-74.dat                         20     2     -       9.333       9.333     0.000      10        9069         2     249.564
15-74.dat                         20     3     -       0.000       0.000     0.000      10         708         2      12.180
15-74.dat                         20     4     -       0.000       0.000     0.000       1           0         2       0.003e
6-48.dat                          24     1     -      12.111      12.111     0.000       3           1         2       0.071
6-48.dat                          24     2     -       4.000       4.000     0.000      10      903293         2    1028.464
6-48.dat                          24     3     -       0.778       0.778     0.000      10      268558         2     579.999
6-48.dat                          24     4     -       0.000       0.000     0.000       4         157         2       6.307
