instance                           n     g     D      it          obj_last          obj_best     runtime   run  starts
R2.dat                            30     1    22      20            84.138            84.138       7.580     1      10
R1.dat                            30     1    22      20           129.101           129.101       7.582     1      10
R4.dat                            30     1    22      20           156.406           156.406       7.763     1      10
R3.dat                            30     1    22      20           160.144           160.144      11.137     1      10
R5.dat                            30     1    22      20           136.489           136.489       7.467     1      10
R6.dat                            30     1    22      20           144.536           144.536      17.463     1      10
R8.dat                            36     1    32      20           163.139           163.139      20.519     1      10
R10.dat                           36     1    32      20           231.396           231.396      26.060     1      10
R9.dat                            36     1    32      20           231.619           231.619      40.885     1      10
R7.dat                            36     1    32      20           204.701           204.701      46.591     1      10
R12.dat                           36     1    32      20           175.407           175.407      43.079     1      10
R11.dat                           36     1    32      20           233.020           233.020      27.414     1      10
R14.dat                           42     1    44      20           230.084           230.084      56.128     1      10
R13.dat                           42     1    44      20           252.197           252.197      62.176     1      10
R16.dat                           42     1    44      20           282.544           282.544      67.407     1      10
R15.dat                           42     1    44      20           321.824           321.824      83.325     1      10
R18.dat                           42     1    44      20           309.659           309.659      83.460     1      10
R17.dat                           42     1    44      20           324.528           324.528      79.849     1      10
R1.dat                            30     2    22      31            17.312            17.312     204.047     1      10
R2.dat                            30     2    22      44            18.148            18.148     741.035     2      10
R5.dat                            30     2    22      36            56.373            56.373    2194.939     5      10
R3.dat                            30     2    22      50            63.976            63.976    3775.272     7      10
R7.dat                            36     2    32      32            25.027            25.027     710.642     1      10
R6.dat                            30     2    22      43            85.516            85.516    4765.359     3      10
R4.dat                            30     2    22      53            69.810            69.810    5803.033     2      10
R9.dat                            36     2    32      46            89.854            89.854    5244.255     7      10
R11.dat                           36     2    32      34           113.182           113.182    3687.565     1      10
R13.dat                           42     2    44      33            33.773            33.773    1182.411     1      10
R10.dat                           36     2    32      45           103.604           103.604    4941.305     6      10
R8.dat                            36     2    32      48            24.567            24.567    4902.985     2      10
R17.dat                           42     2    44      41           142.862           142.862    4748.372     3      10
R15.dat                           42     2    44      52           141.675           141.675    6158.961     2      10
R12.dat                           36     2    32      33           136.827           136.827    3783.067     7      10
R14.dat                           42     2    44      49            33.510            33.510    5258.405     2      10
R1.dat                            30     3    22      46            12.045            12.045    4476.239     4      10
R3.dat                            30     3    22      45            17.863            17.863    5371.856     5      10
R18.dat                           42     2    44      38           174.919           174.919    4481.669     6      10
R16.dat                           42     2    44      52           143.982           143.982    6082.933     1      10
R7.dat                            36     3    32      44            17.564            17.564    5218.856     5      10
R5.dat                            30     3    22      57            33.878            33.878    6799.829    10      10
R4.dat                            30     3    22      46            66.246            66.246    5550.715     1      10
R2.dat                            30     3    22      46            12.692            12.692    5433.748     6      10
R11.dat                           36     3    32      36            52.114            52.114    4361.582     8      10
R8.dat                            36     3    32      38            22.835            22.835    4298.409     5      10
R9.dat                            36     3    32      42            25.733            25.733    5086.274     5      10
R6.dat                            30     3    22      50            84.649            84.649    6030.909     7      10
R15.dat                           42     3    44      31           135.067           135.067    3777.952     1      10
R12.dat                           36     3    32      29           136.502           136.502    3513.434     1      10
R10.dat                           36     3    32      34            48.428            48.428    4118.338     2      10
R13.dat                           42     3    44      46            27.191            27.191    5497.828     5      10
R1.dat                            30     4    22      44            12.022            12.022    5316.437     1      10
R16.dat                           42     3    44      44           143.259           143.259    5361.338     1      10
R17.dat                           42     3    44      29           115.399           115.399    3534.234     1      10
R14.dat                           42     3    44      41            30.089            30.089    4563.521     2      10
R5.dat                            30     4    22      48            16.867            16.867    5801.118     2      10
R18.dat                           42     3    44      29           172.484           172.484    3532.837     1      10
R3.dat                            30     4    22      39            15.206            15.206    4714.344     9      10
R2.dat                            30     4    22      47            10.038            10.038    5679.872     2      10
R9.dat                            36     4    32      35            21.887            21.887    4251.592     9      10
R7.dat                            36     4    32      31            17.538            17.538    3764.672     1      10
R4.dat                            30     4    22      48            43.154            43.154    5799.668     9      10
R11.dat                           36     4    32      24            49.749            49.749    2915.543     1      10
R6.dat                            30     4    22      56            24.632            24.632    6766.138     9      10
R13.dat                           42     4    44      39            25.406            25.406    4772.989     9      10
R8.dat                            36     4    32      32            15.405            15.405    3674.788     4      10
R15.dat                           42     4    44      32           135.067           135.067    3916.499     1      10
R10.dat                           36     4    32      34            25.875            25.875    4128.635     8      10
R17.dat                           42     4    44      29           115.399           115.399    3546.566     1      10
R12.dat                           36     4    32      25           136.502           136.502    3035.934     1      10
R14.dat                           42     4    44      40            21.174            21.174    4723.434     4      10
R16.dat                           42     4    44      46           143.259           143.259    5627.865     1      10
R18.dat                           42     4    44      31           171.935           171.935    3791.807     1      10
